id,pos,CLASS_STAR,PSF_e1,PSF_e2,scalelength,model_flux,MAG_u,MAG_g,MAG_r,MAG_i,MAG_z
W2p1p2_177661,134.82672069999978 -1.9524664409999997,0.00227053,-0.0075,-0.0458,1.7118,7.7,24.318,23.9443,23.8055,23.59,23.034
W2p1p2_177664,134.65854569999988 -1.952455187999984,0.39761,-0.006,-0.0225,1.2415,3.6,25.0498,24.7171,24.7,24.4669,24.202
W2p1p2_177666,134.4488388999999 -1.9524801140000039,0.123415,-0.0078,-0.0116,0.6391,4.2,99.0,26.9053,25.973,24.2773,23.3693
W2p1p2_177671,134.84262869999992 -1.9526519479999997,0.0104332,-0.0064,-0.0397,1.9723,13.1,24.3745,24.0099,23.417,22.759,22.0738
W2p1p2_177679,134.50453869999978 -1.9524383409999941,0.222523,-0.0162,-0.0233,1.7974,15.4,24.3887,23.847,23.3968,22.6409,22.3622
W2p1p2_177681,134.37421140000006 -1.9524490910000183,0.0862822,-0.0073,-0.0095,1.5461,7.4,25.7284,24.9602,24.0418,23.5717,22.8086
W2p1p2_177684,134.35606529999984 -1.9524610489999978,0.0423266,-0.0074,-0.0091,1.1887,14.1,25.5648,24.5116,23.8592,22.8323,22.7774
W2p1p2_177691,134.87324599999988 -1.9523768079999788,0.20363,-0.0072,-0.0431,1.8523,10.1,26.2856,25.3855,24.1757,23.1575,22.4594
W2p1p2_177696,134.01532059999985 -1.9522401009999977,0.0153817,-0.0086,0.012,1.4939,13.9,26.0472,24.9518,23.7488,22.7498,22.4986
W2p1p2_177700,134.41858130000003 -1.9522829050000134,0.00577764,-0.0083,-0.0104,1.6145,7.0,25.1664,24.2221,23.8766,23.6581,23.133
W2p1p2_177701,134.59907870000006 -1.9530990600000127,0.982037,-0.006,-0.0159,0.0,95.0,23.0961,21.5714,20.9797,20.6608,20.5279
W2p1p2_177712,134.75208850000016 -1.952598488000012,0.00937297,-0.0024,-0.0279,2.1796,12.5,23.721,23.423,23.3225,22.9367,22.489
W2p1p2_177713,134.03688459999984 -1.952592834000013,0.0363426,-0.0105,0.0106,0.9026,23.2,23.8459,23.2073,22.5371,22.1752,22.1353
W2p1p2_177722,134.23226860000005 -1.9521167460000202,0.6738,-0.0044,-0.0038,1.2306,2.7,25.3536,25.0938,25.2189,24.6501,24.8002
W2p1p2_177726,134.6036962 -1.9521465740000157,0.436976,-0.0061,-0.0177,0.5714,12.4,24.264,23.8777,23.4192,22.8987,23.2026
W2p1p2_177727,134.07569670000024 -1.952295156000021,0.0239269,-0.0014,0.0063,1.9894,14.5,99.0,25.6612,23.9846,22.8153,22.3633
W2p1p2_177732,134.45334909999974 -1.9521138570000138,0.00911776,-0.0077,-0.0118,2.1388,8.6,24.9737,24.6365,23.9179,23.3972,23.7204
W2p1p2_177737,134.74980620000008 -1.9520314930000147,0.122722,-0.0038,-0.0304,0.8118,4.0,99.0,26.8775,25.0398,24.3849,24.4122
W2p1p2_177751,134.01793380000024 -1.9519793520000193,0.0147809,-0.0089,0.0115,1.1237,7.2,24.4533,24.2171,23.8943,23.5167,23.1524
W2p1p2_177753,134.27944689999984 -1.9520259199999925,0.0428471,-0.0057,-0.0067,1.2686,11.6,23.6865,23.0069,23.0424,22.9663,22.8763
W2p1p2_177759,134.5671804 -1.952035362000006,0.0800628,-0.0059,-0.0138,1.8867,6.2,25.4817,24.6271,23.9785,23.8674,23.9201
W2p1p2_177763,134.70192840000016 -1.9521289410000273,0.0088702,-0.0054,-0.0269,1.718,7.5,25.0654,24.8332,24.0058,23.4802,23.3927
W2p1p2_177766,134.50989100000012 -1.952348007999989,0.9215,-0.0066,-0.0104,0.0,22.0,26.5989,24.772,23.8964,22.204,21.3465
W2p1p2_177768,134.23606509999993 -1.9519660739999727,0.0790902,-0.0029,-0.0042,1.4179,5.1,24.0621,23.8144,23.8037,23.8248,23.3337
W2p1p2_177770,134.6570888 -1.9519530409999901,0.13884,-0.0061,-0.0224,0.9266,4.8,26.0346,24.8519,24.2512,24.094,23.8499
W2p1p2_177775,134.8533670000001 -1.9519467689999954,0.341778,-0.007,-0.0423,1.2689,3.2,25.6737,25.6315,25.2182,24.4221,24.5626
W2p1p2_177778,134.5891572999999 -1.9519471500000152,0.0217026,-0.0064,-0.0159,1.3812,8.7,24.0516,23.7828,23.6375,23.3686,22.9859
W2p1p2_177781,134.3266289000001 -1.951948745,0.974199,-0.0079,-0.0076,0.3244,11.1,25.5358,24.4859,23.6287,23.0686,23.1215
W2p1p2_177788,134.9190849999998 -1.9518494559999835,0.091657,-0.0101,-0.057,0.5564,4.7,25.0693,24.3963,24.291,24.0534,24.2814
W2p1p2_177793,134.10496429999986 -1.9518893649999904,0.255114,3.0E-4,0.0049,1.5691,3.3,99.0,25.6431,24.9116,24.5353,24.0205
W2p1p2_177801,134.71778140000023 -1.9518691740000231,0.0101481,-0.0053,-0.0285,1.2828,3.4,25.5576,25.063,25.1457,24.4857,24.1712
W2p1p2_177803,134.3078350000001 -1.9518428219999935,0.0201157,-0.0052,-0.0066,1.5254,10.7,25.218,24.5082,23.7256,23.1535,23.2768
W2p1p2_177804,134.89782459999986 -1.9518353780000004,0.487993,-0.0082,-0.0491,1.3401,2.2,99.0,24.9825,24.6668,24.5333,99.0
W2p1p2_177809,134.84170369999998 -1.9517907509999881,0.892501,-0.0067,-0.0398,0.0,8.5,99.0,25.6398,24.3432,23.3691,23.1481
W2p1p2_177811,134.62817179999996 -1.952140018000002,0.0731713,-0.0067,-0.0182,1.7237,38.0,26.9439,24.3451,22.7612,21.6846,21.3105
W2p1p2_177816,134.84491680000022 -1.9517305609999753,0.449032,-0.0066,-0.0405,1.2066,2.9,25.1963,24.7126,24.534,24.5755,24.5348
W2p1p2_177820,134.62689180000024 -1.9517517029999947,0.475227,-0.0071,-0.0197,2.1614,3.4,25.65,25.4224,25.1134,24.4865,99.0
W2p1p2_177831,134.2155169999999 -1.9520048369999752,0.980158,-0.0026,-0.0051,0.0,33.0,25.9451,23.4684,22.4145,21.8515,21.5849
W2p1p2_177832,134.24531660000005 -1.9516945939999961,0.521407,-0.0045,-0.0055,0.521,3.1,24.9297,24.5936,24.5843,24.3172,24.1146
W2p1p2_177834,134.83357479999972 -1.9528850820000085,0.983252,-0.0125,-0.0573,0.2906,259.8,23.6008,21.37,20.1749,19.5265,19.2034
W2p1p2_177838,134.79727530000017 -1.951668003000013,0.00674579,-0.0052,-0.0362,1.5655,3.6,25.464,24.7251,24.4783,24.4705,99.0
W2p1p2_177839,134.78933479999986 -1.9516868919999784,0.116315,-0.0049,-0.0349,1.2269,4.9,24.7544,24.5746,24.5736,24.1731,23.3048
W2p1p2_177842,134.84362120000017 -1.951659092999982,0.414191,-0.0051,-0.0367,0.7804,3.7,24.7482,24.4565,24.3775,24.2082,24.1327
W2p1p2_177843,134.4730765999999 -1.9542062560000177,0.0289259,-0.0067,-0.0126,2.9,85.2,23.8658,22.4283,21.3261,20.7611,20.4232
W2p1p2_177844,134.3661466999998 -1.951740146000021,2.66694E-4,-0.0075,-0.0093,2.6598,9.8,24.2711,23.8063,23.6946,23.4118,23.1642
W2p1p2_177846,134.8899547 -1.9516276479999815,0.101169,-0.0089,-0.0506,1.3342,6.5,24.707,24.6837,24.4531,23.7457,23.4949
W2p1p2_177849,134.09475650000013 -1.9516237929999738,0.602481,-0.001,0.005,0.0,9.6,99.0,27.1871,24.8277,23.223,22.6857
W2p1p2_177850,134.73936839999976 -1.9516465509999807,0.111295,-0.0036,-0.0268,1.5012,6.1,25.103,24.8399,24.3921,23.8103,23.6669
W2p1p2_177853,134.70052009999992 -1.951655712999989,0.107631,-0.0055,-0.0268,1.8602,9.0,25.0353,24.64,23.8686,23.3584,23.1666
W2p1p2_177864,134.91679280000002 -1.9515493700000088,0.746292,-0.0109,-0.0578,0.0,10.5,99.0,25.018,23.7345,23.0377,22.6588
W2p1p2_177867,134.82718639999996 -1.9515227089999843,0.02929,-0.0063,-0.0409,2.2425,5.1,24.7243,24.5102,24.2798,24.0984,23.9095
W2p1p2_177873,134.30644850000002 -1.9514903079999981,0.014489,-0.0075,-0.0077,1.8265,11.2,24.8555,24.1679,23.3891,22.8541,23.5448
W2p1p2_177876,134.1103061999997 -1.9524448890000219,0.0282559,-0.0,0.0043,2.0142,52.5,22.5006,21.8008,21.3584,21.2429,21.1015
W2p1p2_177880,134.35136830000016 -1.9514647030000023,0.35366,-0.007,-0.0084,0.4239,3.7,25.0105,24.7554,24.8044,24.4283,24.8818
W2p1p2_177888,134.76758320000025 -1.9514471679999814,0.00327822,-0.0029,-0.0295,2.7975,10.6,24.8334,24.4703,23.9418,23.1458,22.9389
W2p1p2_177890,134.72617509999995 -1.9513826040000075,0.0908935,-0.0111,-0.0416,1.2143,5.3,25.2656,24.3871,24.2757,24.074,24.1834
W2p1p2_177891,134.3783556 -1.952337076999991,0.770611,-0.0066,-0.0086,1.6664,50.6,26.6171,24.092,22.7971,21.2892,20.558
W2p1p2_177894,134.53155550000022 -1.9517313670000114,0.979849,-0.0092,-0.0181,0.0,43.6,22.9305,22.0677,21.6995,21.5409,21.407
W2p1p2_177897,134.26843190000022 -1.9513333419999914,0.0125193,-0.0056,-0.0061,2.1903,3.3,25.4732,25.1156,25.1808,24.4743,23.9021
W2p1p2_177898,134.03012389999984 -1.9512894989999885,0.133993,-0.0108,0.0097,2.6031,6.8,24.9336,24.6095,24.1861,23.8368,23.6246
W2p1p2_177899,134.0444103 -1.9521688110000235,0.0288946,-0.0113,0.0079,1.1777,44.0,23.1295,22.5886,22.1339,21.4933,21.2569
W2p1p2_177900,134.77681059999975 -1.951308736000011,0.0254814,-0.0045,-0.0334,0.9883,8.1,24.6133,24.4121,23.9532,23.4334,23.7158
W2p1p2_177902,134.10043430000016 -1.9513635789999844,0.96291,0.0022,0.0062,0.0,24.4,27.5671,24.4879,23.1906,22.1825,21.8472
W2p1p2_177915,134.20328579999986 -1.9512992109999856,0.00742752,-0.0044,-0.0017,2.2914,11.6,24.5615,23.637,23.1135,22.9779,22.77
W2p1p2_177918,134.7952540000002 -1.9511930520000211,0.104993,-0.0039,-0.0329,1.0343,4.0,25.0722,24.5189,24.5786,24.2907,24.8614
W2p1p2_177924,134.03696079999986 -1.9512193349999811,0.0269039,-0.0106,0.0082,1.7257,26.0,25.754,24.3398,22.8652,22.0978,21.7827
W2p1p2_177926,134.43118139999999 -1.9511422129999825,0.00204334,-0.0086,-0.0109,1.4953,3.4,25.3409,25.1552,25.138,24.6154,99.0
W2p1p2_177927,134.35230790000008 -1.9511672370000157,0.592927,-0.0089,-0.0099,0.7289,6.6,26.412,25.593,24.7361,23.7018,23.1224
W2p1p2_177932,134.00439569999992 -1.952037851000018,0.399413,-0.008,0.0139,0.0,132.8,24.7996,22.3106,21.0981,20.2574,19.9013
W2p1p2_177933,134.71292940000004 -1.9510653179999953,0.0246291,-0.0065,-0.0298,1.4233,18.3,24.2393,23.1526,22.7049,22.516,22.4159
W2p1p2_177934,134.29285319999983 -1.9511505190000127,0.964266,-0.012,-0.0126,0.0,24.1,25.6732,23.6265,22.7211,22.2222,22.1065
W2p1p2_177938,134.8745226999999 -1.9510698340000168,0.0754388,-0.0084,-0.0473,0.9833,7.9,25.1175,24.6122,23.9324,23.4801,23.543
W2p1p2_177943,134.3548217000003 -1.951301409000005,0.086542,-0.0076,-0.009,1.5442,25.4,25.5636,24.2789,23.0726,22.0999,21.7591
W2p1p2_177946,134.36162460000006 -1.9513374960000243,0.018296,-0.0075,-0.0092,2.3897,8.1,24.0882,23.7276,23.586,23.3814,22.8957
W2p1p2_177949,134.5292549000003 -1.9510088870000062,0.438938,-0.0076,-0.0164,0.5071,4.9,25.3243,24.9091,24.4691,24.1123,23.7044
